station_id,ramp_start_time,ramp_end_time,ramp_rate,ramp_start_freq,tx_station_id,ghz_part,freq_mod_1e9,freq_frac,record_index
15,2052238857.0,2052239696.0,0.0,7176233168.0,15,7,176233168,0,0
15,2052239696.0,2052241044.0,0.0,7176233168.0,15,7,176233168,0,1
15,2052241044.0,2052241145.0,0.0,7176233168.0,15,7,176233168,0,2
15,2052241145.0,2052241153.0,0.0,7176233168.0,15,7,176233168,0,3
15,2052241153.0,2052241222.0,0.0,7176258051.714579,15,7,176258051,714578629,4
15,2052241222.0,2052241256.0,2.84007,7176258051.714579,15,7,176258051,714578629,5
15,2052241256.0,2052241550.0,2.73151,7176258148.276959,15,7,176258148,276959419,6
15,2052241550.0,2052241857.0,2.62757,7176258951.340899,15,7,176258951,340899467,7
15,2052241857.0,2052242178.0,2.5281599999999997,7176259758.004889,15,7,176259758,4888535,8
15,2052242178.0,2052242513.0,2.43317,7176260569.544249,15,7,176260569,544248581,9
15,2052242513.0,2052242701.0,2.34233,7176261384.656199,15,7,176261384,656199455,10
15,2052242701.0,2052242864.0,2.34233,7176261825.014239,15,7,176261825,14239311,11
15,2052242864.0,2052243231.0,2.25544,7176262206.814029,15,7,176262206,814028740,12
15,2052243231.0,2052243615.0,2.17237,7176263034.560509,15,7,176263034,560508728,13
15,2052243615.0,2052244016.0,2.09299,7176263868.750589,15,7,176263868,750589371,14
15,2052244016.0,2052244436.0,2.01703,7176264708.039579,15,7,176264708,39579391,15
15,2052244436.0,2052244876.0,1.94422,7176265555.192179,15,7,176265555,192178726,16
15,2052244876.0,2052245333.0,1.8744399999999999,7176266410.579199,15,7,176266410,579198837,17
15,2052245333.0,2052245810.0,1.80748,7176267267.198279,15,7,176267267,198279381,18
15,2052245810.0,2052246306.0,1.74306,7176268129.366239,15,7,176268129,366238594,19
15,2052246306.0,2052246821.0,1.68084,7176268993.923999,15,7,176268993,923998833,20
15,2052246821.0,2052247349.0,1.62076,7176269859.556599,15,7,176269859,556598663,21
15,2052247349.0,2052247888.0,1.5626600000000002,7176270715.317879,15,7,176270715,317878723,22
15,2052247888.0,2052248440.0,1.50591,7176271557.591619,15,7,176271557,591618538,23
15,2052248440.0,2052249001.0,1.44984,7176272388.853939,15,7,176272388,853939056,24
15,2052249001.0,2052249567.0,1.39404,7176273202.214179,15,7,176273202,214179039,25
15,2052249567.0,2052250124.0,1.33847,7176273991.240819,15,7,176273991,240818977,26
15,2052250124.0,2052250676.0,1.28262,7176274736.768609,15,7,176274736,768609047,27
15,2052250676.0,2052251218.0,1.22554,7176275444.774849,15,7,176275444,774848938,28
15,2052251218.0,2052251742.0,1.16688,7176276109.017529,15,7,176276109,17528534,29
15,2052251742.0,2052252244.0,1.10635,7176276720.462649,15,7,176276720,462649345,30
15,2052252244.0,2052252725.0,1.04327,7176277275.850349,15,7,176277275,850349426,31
15,2052252725.0,2052253183.0,0.97688,7176277777.663219,15,7,176277777,663219452,32
15,2052253183.0,2052253617.0,0.90671,7176278225.074259,15,7,176278225,74258804,33
15,2052253617.0,2052254027.0,0.83217,7176278618.586399,15,7,176278618,586399078,34
15,2052254027.0,2052254413.0,0.75279,7176278959.776099,15,7,176278959,776099205,35
15,2052254413.0,2052254772.0,0.66855,7176279250.353039,15,7,176279250,353038788,36
15,2052254772.0,2052255109.0,0.57912,7176279490.362489,15,7,176279490,362488747,37
15,2052255109.0,2052255425.0,0.48367,7176279685.525929,15,7,176279685,525929451,38
15,2052255425.0,2052255722.0,0.38185,7176279838.365649,15,7,176279838,365649223,39
15,2052255722.0,2052255998.0,0.27343,7176279951.666679,15,7,176279951,666679382,40
15,2052255998.0,2052256202.0,0.15799,7176280027.133359,15,7,176280027,133358955,41
15,2052256202.0,2052256258.0,0.15799,7176280059.363319,15,7,176280059,363319397,42
15,2052256258.0,2052256504.0,0.03455,7176280068.210759,15,7,176280068,210759163,43
15,2052256504.0,2052256603.0,-0.097309999,7176280076.710059,15,7,176280076,710059166,44
15,2052256603.0,2052256648.0,0.0,7176280067.076369,15,7,176280067,76369286,45
15,2052256648.0,2052256648.0,0.0,7176280067.076369,15,7,176280067,76369286,46
25,2052323436.0,2052324636.0,0.0,7176209056.0,25,7,176209056,0,0
25,2052324636.0,2052324637.0,0.0,7176209056.0,25,7,176209056,0,1
25,2052324637.0,2052324745.0,0.0,7176209056.0,25,7,176209056,0,2
25,2052324745.0,2052325022.0,0.0,7176209056.0,25,7,176209056,0,3
25,2052325022.0,2052325081.0,0.0,7176209056.0,25,7,176209056,0,4
25,2052325081.0,2052325089.0,0.0,7176209056.0,25,7,176209056,0,5
25,2052325089.0,2052325162.0,0.0,7176211290.730058,25,7,176211290,730057716,6
25,2052325162.0,2052325204.0,8.45303,7176211290.730058,25,7,176211290,730057716,7
25,2052325204.0,2052325311.0,8.15133,7176211645.757318,25,7,176211645,757317543,8
25,2052325311.0,2052325419.0,7.8581900000000005,7176212517.656488,25,7,176212517,656488419,9
25,2052325419.0,2052325531.0,7.5752,7176213366.341008,25,7,176213366,341008186,10
25,2052325531.0,2052325647.0,7.30124,7176214214.763408,25,7,176214214,763407707,11
25,2052325647.0,2052325768.0,7.03534,7176215061.707248,25,7,176215061,707247734,12
